legacy_id,link_llamada
23dedb5c-8b19-404b-8a0f-6db421203fb8,https://fathom.video/share/m1SKf4NMvHKAGaHmUvut1U5QTidH9GBu
25523157-43ac-47ab-b962-259a10d8b1ba,https://fathom.video/share/Dhun4RgdqfpHVfjxX2pzWTpLj3iV6Eey
25c4a223-60e5-4160-aa32-2abf9f615513,https://fathom.video/share/xKwuE_NutkTtvT5mm9ZEdGdZUoNR--Nx
261f1a13-3fc2-41fc-a426-8db173bd461c,https://fathom.video/share/xCGAsLDh_DX3s6Khv6nwKwMaHqnkCWnZ
262e8e39-b36e-4ea5-9174-3e0dd0229a7c,https://fathom.video/share/kL4Fy_ERacM6JiBCvjKkuA99_5-3JJyM
265420e2-93f2-46c5-8320-f5c14269a6ac,https://fathom.video/share/zc1DotZMw_J-jpjZL7YoxufVapKGUxXH
277cd35a-8a75-4a16-b928-4cf5896f16f8,https://fathom.video/share/6yscMAcLgzk9stD3ccEy1sfTST1XuRtx
27ac0d26-d997-43ab-b674-4eaec0fa5ebc,No hubo
2879fe01-68c6-47f0-928f-cce822c2b940,.
29ccb75f-6fab-461f-baa0-f8dbee10d389,https://fathom.video/share/ozdUiVcxr9ybFLMUM6TigfzZQxVGyYp1
2a321fc0-df99-4f9b-900b-97de7122d9b3,https://fathom.video/share/5CzvuUfM3Sg6z3PTFWofHYG4oLECiQFR
2a77ed6a-a01a-4dd4-a192-aa70e1741e68,https://fathom.video/share/XvJsMPSaWTM2bxhfFfkNyR4M6Yb2XCH9
2b4379ae-6bfc-4a28-990c-73ccfb337f6c,https://fathom.video/share/Tiosbv_-PKhsezpZ2a6DTky9gS8ex9Mq
2b7f4d61-7801-4c7f-9c7d-e64fcdec4cd0,https://fathom.video/share/zUK67W9pwbvcHC3TdLMXDP8JZYJzyNMz
2c42ba03-6493-4c6e-920c-243ef45b047b,https://fathom.video/share/ZWZdPkT19rmSxtvtM-2m35QzyHSsrQ9L
2cbcdf89-29f6-4e60-b834-15dc66c02cb9,https://fathom.video/share/cu5g4z41bzxNJvWsBDo2nHxYthMzUzJr
2dca3166-b815-4c0c-b201-45e87c080993,https://fathom.video/share/y-77fvWpQBaKyJ4MaSCfJZX9s9xFnnJE
2faa53b5-e5bd-4d63-a088-e77db1b03af5,https://fathom.video/share/5RwBWeh7prXLSPR2KaTzvPQfvsUmXZCn
302f5492-7743-41ff-855f-eb4aea92db9f,https://fathom.video/share/kF2v3f7sJV_xpR_ciyBtin6s1uTSHvsr
3056f5ed-4dac-419e-8f18-6739004c88a3,https://fathom.video/share/n7HFuPNDDmJMAm9RGJdmGy7EXJCHzzPd
308e4a71-be38-45ba-be3e-e3f991bcdae2,https://fathom.video/share/ydKAeKdhbVoy8Hz68Zk5C9yhvXAVhwX4
30a1058f-f5be-438d-9c71-7802440b94f1,https://fathom.video/share/qDwxakgovXdCVntj7PAPCzZ5vVK9sLZM
320e5bee-cfd6-43df-b5d9-e32cab49a3c1,https://fathom.video/share/AKnq6xFuzHtvpd9ZFxN_xkfQgXj6UtKr
332547e3-bd42-4576-8141-57ed80abdcd2,https://fathom.video/share/KYjdM_sHdrxVzWScz19wdsvKbRYdx8k5
34f8c8cf-f286-443c-90ce-e6ea9d3bf1ae,https://fathom.video/share/Rzo4x_2uJzzV2P2Grr9SryihBvdzGhdd
362fdf0b-67f4-48fd-9898-5604cc93cb1d,https://fathom.video/share/N_p4dvMg7imVqTXdu2HDqcs3K-D3KQEy
36834a30-49c2-4f90-8464-007f5519a92f,https://fathom.video/share/wnzTZ2PMg1jKppoCQawdyp9TBAsTHgzY
368bbf11-2a19-481f-8a69-98fbfe8046c8,https://fathom.video/share/pzguaX4At7rsD9pWy-qW-xAudLKgxqw9
3754888f-7528-4e1b-bd28-448576ebf8c8,https://fathom.video/share/xayM6Rz-bQnxpMzGhrRKD-etNsHTBf2-
3840bfa8-a8af-4c5b-9fa2-02bccc929972,https://fathom.video/share/cUx4ipVY1WMfMmYz9yhgM511MDSy7387
392cf62f-0c4b-4377-9c36-dd6d5ce1fe08,https://fathom.video/share/YAx1eYjzsoQvGxux9zQwhayRs3Dz3PtD
39456dee-d453-4451-a1b3-9c1200489fa0,No hubo
